Company,Model,Year,Reviewer,Date,Title,Rating,Review
alfa-romeo,giulia,2017,Ross K, 10/04/2018,"25,000 miles and still in love",5,"I have just hit 25,000 and haven't had one issue with my Giulia. So if anyone's concerned about reliability, my Giulia is proof that Alfa got this car right!  Sure, there will always be a few cars that will have issues, and that's true of every brand.  But the modern Alfa Romeo is nothing like the Alfas of the 70s and 80s if that's what people are worried about.  And, I will second all the positive things everyone else says about this car.  Driving the Giulia is a revelation!  Best car I've ever owned.   If you enjoy driving, then there's no other car at this price that's better.  And if you don't enjoy driving, the Giulia will probably change that!  It feels like a sports car in every respect, but is as liveable and comfortable as any sedan commuter.  it's the best of both worlds, and totally worth it!
"
alfa-romeo,giulia,2017,jb7227, 04/06/2017,Something special!,5,"I have only had my Quadrifoglio for about a week....but you know as soon as you get in, that you are driving something special.  I have a relatively well-optioned car including the carbon ceramic brakes, MSRP about $87k.    This car gets a LOT of thumbs up...get used to it!  You can dial the personality you want this car to have...in Dynamic mode (haven't tried ""race"" mode yet, want to break in the car properly!) it feels really tight...in ""natural"" mode, a comfortable daily driver....but you always have the feeling this car wants to run fast.  Unlike some reviews online, i found the interior to be of very high quality...the dashboard looks like it came from a Ferrari.  I am considering a set of Michelin Pilot Sport high performance all season tires, as I can already tell the Pirelli PZero Corsa tires will not last more than about 7,500 miles on the high end!  I have the standard seats, but if you purchase a car with the optional carbon fiber seats, definitely try them before you buy....the basic seats have plenty of bolstering and more power adjustments.  Not that it matters...but so far, in relatively gentle driving (again...trying to break it in for the first 500 miles or so)...average MPG is about 19 according to the on-board computer.  I have the Rosso Competizione exterior color...it looks fabulous...but i did notice that most dealers first Quadrifoglios were Vulcano black.  Although the black looks nice, IMO it doesn't do the car justice, as the carbon fiber bits kind of get ""lost"" in a sea of black....Overall impression...it's even better than I expected!!!!
"
alfa-romeo,giulia,2017,Greg Dwyer, 07/12/2018,"Sexy, Spoty, and Moments of WTF",5,"Update below original review:
I moved into the Alfa Romeo from a Ford Taurus SHO, looking for a car comfortable both on the commute, and on the track with minimal adjustments.  The Alfa turns my commute into a day at the track with the precision handling, incredible tire-chirping acceleration, which is especially aggressive when passing.  The cost was comparable to the SHO--I ended up at around $35k once all the incentives were included (No trade in.)                                                                                                   The fit and finish of this car is amazing.  Tight, quiet, luxurious to the touch.  Get the glass roof.  Without, it seems somewhat looser, more warehouse-y.  The trunk room is pure Alfa Romeo ""What do you need luggage for?""  And things like cup holders are designed for afternoon tea, not a days' worth of coffee in a Yeti.  Bigger containers make adjusting some of the controls a little cumbersome.  No more so that Alfa has done to themselves.  Very frustrating controls for things like the fan motor.  It has a rotary control, but it's brain is attached to the dash display, so rotating the fan one turn only ""wakes the display"" but doesn't do anything for the fan speed.  Not the biggest deal, but you wonder why the two different systems to control one item.  And when you're in reverse, nothing else can be controlled...radio, temp, etc because the reverse view camera is occupying the display.  Like I said, cumbersome.  But that's my only complaint.  My dealer is awesome--they understand a certain level of service is expected here with Alfa--unlike my ford guys.  The is a slight steering wheel rubbing that they are having a time trying to figure out--so until then it's just more volume on the radio (unless I'm backing up!)

Update: I am no longer the owner.  The little things became big things.  Just wasn't the car for me, I guess.  The steering wheel rub never got worked out--and only got more pronounced.  I had to have the front facia replaced after hitting a rather aggressive pothole, and that experience was awful--from my dealer not being able to even order the piece from the manufacturer for 4 weeks, to it being installed incorrectly, and painted the wrong color.  The whole car glistened with the slightest pearl int he white, but the facia was like white-out correction fluid.  Then the repaint had drips between the pieces--by this time (A year) the squeaked and rattles that Alfa owners warned me about began to appear.  The fan never seemed like it was connected to the vents.  Highest blower setting netted almost no air into the cabin.  rear passengers told me of the extreme heat coming through the back seat into the cabin, and were frankly soaked after a road trip.  My Hood latches would intermittently unlatch, a problem they could never quite fix, so for a time, I had white race tape across the hood--not the look I was going for.  The shop pulled my hood release handle so hard it came off in their hands, and that was never the same.

I'm back to a SHO, where the power is more, and handling is less.  But I'll just become a better driver.
"
alfa-romeo,giulia,2017,Bill Nelson, 04/05/2017,Alfa Quad is almost practical,5,The Alfa Romeo Giulia Quad offers extraordinary performance and yet can be reasonably driven as a freeway cruiser. The seats are comfortable. The controls intuitive and the fit and finish at a high standard. There's something wonderful about being in a four door sedan powered by a Ferrari-derived engine that handles like a race car. I've only 500 miles on the odometer but so far I've had no issues of any kind. And I forgot to mention that the car is drop dead gorgeous.
alfa-romeo,giulia,2017,John S., 07/11/2017,Fun to drive,5,"Amazing power for a 4 cyl........transmission is the best I  have ever driven. In dynamic mode,using paddle shift,this car is so much fun to drive.Steering/braking performance is first class. Get ""thumbs up""from other drivers every time I go out. Had the car for a month,with zero problems. Was impressed that Alfa Romeo USA called to thank me for my purchase,and gave me phone #to call if I had any issues  in the future.
"
alfa-romeo,giulia,2017,Veloce, 12/02/2017,Excellent choice,5,"I've owned many different luxury sedans, including Audi, BMW, Mercedes, Lancia. The quality of the Alfa Giulia is outstanding, especially in the higher trims with Luxury and Sport packages like mine. Handling is superb,  driving pleasure is the best you can expect and everything is well made outside and inside. Alfa has come back stronger then ever and the numerous international awards are confirming it. Many talk about the reliability issue but statistics prove that Alfa does not have more problems then the competitors. I had zero issues so far. 12/05/2010 Update: after 3 years of ownership,  not  single issue. I replaced rhe 2017 with a 2019 one year ago and it's still the same amazing experience. Well beyond expectations. 
"
alfa-romeo,giulia,2017,Gregory J, 04/18/2018,"After 25,000 miles-An Update",5,"Back in the day I have owned Lancia's and Fiats. More recently I have largely been on a Mercedes kick. I leased this to replace a Mercedes 250 SLK- beautiful car for sure- but does not drive better than it looks. The Giulia on the other hand is also a beautiful car- but it DOES drive better than it looks. Drive one- an you will immediately know what this car is about. If you love driving- you will love the Giulia. I wrote that when I firs got the car. After 25K- love it even more. If you like to drive and dont have 80K for a car- you gotta drive this.
"
alfa-romeo,giulia,2017,C Roussin, 08/24/2018,Totally connecting driver and road,5,"This car directly connects me to the road through perfectly balanced handling, excellent power, great brakes.  The seats and dash are great art and fit the ""driver's car"" aesthetic.  Love the car.  Every BMW, Audi, Mercedes that I drove bored me to death.
"
alfa-romeo,giulia,2017,centurian65, 10/18/2017,Stranded-Update,1,"Less than 3100 miles. Car shuts downon freeway driving 75 MPH. Had to coast to shoulder. 3 hours for Alfa Road side assistance to get a tow truck.  Car has been at dealer now since Saturday (today is tuesday) and they still have no idea what went wrong.  Dealership was unable or unwilling to help me witha loaner when car went down.

UPDATE:  Car has been in the shop two additional times since original review.  First the headlights were defective and needed replaced.  Now it is waiting for a new motor.  When the headlights were replaced the service advisor and i heard a knocking sound coming from the engine. They initially thought it was pulley. A detailed examination by the dealership working with engineers in italy determined the knock was in the lower end of the engine.  So it needs to be replaced. 

The sunroof is noisy when closed.  

Luckily everything is covered bt the warranty, but this is now 3 months the car has been out of service. I love the styling, but will not be keeping this car.
"
alfa-romeo,giulia,2017,Gary, 10/04/2017,Most enjoyable to drive,5,"My first Alfa. Coming from a string of Germans and one boring Asian luxury experience. This is likely the smallest sedan I've owned, yet seems to be sufficiently roomy as a daily driver. The drive is what this car is about. It is so light, responsive, and eager to turn, that I find gravitating toward it much more often rather then 3 other vehicles we have access to. Exterior is ok. Distinctive, without flashy. Interior (mine is red) is stunning even in base model. Base seats are average - should've gone for bolstered versions. Putting mildly eccentric controls aside, including the nagging driver seat which insists on sliding back when car is shut off, the DRIVE is what this thing is all about. I compared RWD to AWD and opted for RWD. It feels significantly lighter and more responsive. Speaking of responsive, the base 4-cyclinder is hugely responsive, especially when engaging 'Dynamic' mode via control knob. The car feels quick for sure and I dare say, border line FAST. Emphasis on the feel, not actual numbers (whatever they are). After wondering about looking for a fun to drive vehicle, this appears to be a perfect choice after the first few weeks.
"
alfa-romeo,giulia,2017,QVORBUST, 07/02/2018,Unbelievable Car,5,"I have seen the previous two reviews and find them a little hard to believe especially the brake issue.  Believe me if Alfa or anyone else thought the car had a brake failure and run the risk of a fatality gimme a “brake”.  My guess is there are a lot of folks that either this is their first car or really need to buy a Toyota.  I have had my QV for 17 months and not one problem other than a flat tire.  It is the most fun car and I don’t see myself coming and going on the road as every other car.  For a new model year I was very sensitive and concerned.  NOT ANYMORE.  The car is great.  Alfa Customer Care follows up on every appointment and if the problem is not resolved they escalate for you. I am having a very hard time believing that there is not an issue like the previous poster described.  I read it twice and knowing the car and the rules these stories are a bit far fetched at least the one where they are so afraid to drive the car because the brakes failed and the dealership said there was not a problem with the brakes.  I guess they need to apply pressure to the brake peddle. For the car going into neutral on its own I would say the shifter is tricky for the newbie.  Might want to make sure you don’t reach over and move it when driving.  Neutral at 70 plus a mile speed is not dangerous anyway.  Getting a flat at 70 is.
"
alfa-romeo,giulia,2017,Wayne Grabow, 08/22/2018,Like an extension of your mind,5,"We had been shopping new cars for about six months when we came across a Giulia Lusso equipped just the way we wanted.  It was used (4000 miles) but in perfect shape.  It is my wife's car, but I got to drive it last weekend for a 300+ mile trip to the Colorado mountains.  OMG.  Those curving mountain roads are a real test track.  We ran at speeds up to 90 mph; up and down mountains; curve after curve; slow then fast.  Use the brakes gently; they respond quickly.  When you have a chance to pass, you will swiftly overtake.  Suspension is very confidence inspiring.  The controls are very complete and easy to read.  The seats brought us to our destination in comfort.  The interior is beautiful.  We love the compact size of the car; luggage room for two was ample.  This car replaces a BMW 228i  which  handled well, but this feels much more deluxe.  Our other sedan is a Jag XF; my wife calls this her ""little Jag"".  We couldn't be happier at this point.

A year later:  The Giulia Lusso has been flawless.  Although we have only had to visit our Alfa dealership in Denver for the 10K service, it is a beautiful, clean and supportive location.  It is my wife's car, and she loves it.  Beautiful and distinctive; quick and responsive; fuel efficient yet powerful.  We didn't need to get winter tires; the OE tires provided adequate traction through the winter.  I think that for many people who are dissatisfied with their car, it is because they didn't really define their needs and wants before choosing.  They didn't get a ""bad"" car; they got the wrong car.  This Alfa is just what we wanted.  At 12K miles, we are very satisfied.
At two years:  Still no defects noted.  We have noticed one ""limitation"", it is not a good car for deep snow.  The clearance between the tires and surrounding wheel wells is tight enough that the space fills up with packed snow on occasion which can actually make it harder to turn the front wheels in sharp corners.
At 17,000 miles we had to have the tires replaced and the alignment checked and adjusted..  Both front tires were worn to the belts on the inside edge while having significant tread remaining on the more visible outside edges.  To me, this indicates that the alignment had been set improperly, but having bought the car used, not sure I can blame the manufacturer. 
"
alfa-romeo,giulia,2017,Johnny, 09/06/2018,"STUNNING CAR, drives and sounds like a dream. UNIQ",5,"This isn’t an appliance like a Toyota or a Honda.  It’s not a sterile BMW or Mercedes, that contain as much passion as a rock. This is a REAL CAR for people that enjoy driving.  This isn’t transportation it’s an experience. After more than six months and 8500 miles the car has been flawless and continues to amaze me.  It just went in for its first service which is complimentary.  Oil change, software updates, etc.   everything was great.  Dealer was sharp and professional in the service department in Bedford.
"
alfa-romeo,giulia,2017,Art Haskins, 03/16/2017,Had to buy it,5,"The Alfa Giulia is a fun car to drive. Has plenty of pickup. Using the paddle shifters is a blast. Car holds the road well and the cabin is comfortable.  However, I do wish I had purchased  the sport seats. Had the car for about 10 days and went on a road trip of 600 miles. Gas mileage was as advertised at 30-31 mpg. Ran it up to 110mph and it had a great deal more to give. The steering takes a little getting use to as it is so responsive. Have had numerous compliments.
"
alfa-romeo,giulia,2017,Jason J., 03/08/2017,"Love the car, if the electronics only worked",2,"The bluetooth in this car hasn't worked since day 1.  I've now hat it a week and a half and it spent the first week in the shop with them no having a clue how to fix it.  They finally flew an engineer in to work on it.  It worked for a day and now works about 1/3 of the time.  I'm taking it back into the shop tomorrow.  So, on Friday I will have had the car for two weeks, but have only actually been in possession of the car for four days.  Alfa ""Premier Customer Care"" is zero help.  the dealership offered to find me a replacement but then they couldn't actually get one here.  There's one just like mine sitting on a lot two hours away and that dealership refused to release it to this dealership, and Alfa Romeo corporate can't do anything to make that happen.  The have manage to drop the ball at every turn on this debacle.  I've heard nothing but excuses and they still don't have a clue how to fix the car.
"
alfa-romeo,giulia,2017,s.cassell@hotmail.com, 03/31/2017,Not the Alfa of old,5,"First take the car for a test drive, this is not a BMW, Mercedes or Audi, it was never meant to be.  This is Italian at its best.  Some reviews out there mention comparisons to the infotainment and lack of rear leg room however for myself it has been totally the fun and excitement to drive.  I will admit the rear leg room can be limited however, it is ample enough for short trips with people in the back seat.  This car is so much fun to drive, the pick up is great, the sound is intimidating, even for the 4 cyl.  having owned since the middle of the February I was one of the only ones in the area that had one.  this meant only 6 in the whole area.  It has a very sexy design and gives the driver that feeling of being a part of a specialized crowd.  I love it, although might not be for everyone, but it is definitely meant more many.
"
alfa-romeo,giulia,2017,Steve Meeks, 10/01/2017,A wolf in sheeps clothing,5,"The 2017 Giulia Quadrofogilio is a sleeper compared to BMW, Mercedes and even my Porsche 911 4s. I am baffled by some reviews from journalists in that I think that they have never driven the Quadrofogilio. 505 horsepower. 4 different driving modes including race, ceramic brakes and a carbon fiber driveshaft, roof and hood and movable front aero an interior that is far superior to BMW, Mercedes, Porsche or Jaguar. My son is 6ft tall and is more comfortable in the back seat than the BMW 3 series or the Jaguar xe or even the Mercedes 300. The infotainment and navigation is better than my Porsche which cost $160k. For a performance vehicle in a sedan who outperforms BMW, Jaguar, Mercedes, and handles as good or better than my 2017 Porsche 9114s for $80 k plus a warranty that is the best in the industry how can you not like the Italian design, handling, comfort and price.  This car looks like a regular family sedan but is built for the track. It is funny how BMW's , Mustangs, and even Corvettes, want to race you and you have the last laugh when you fly past them and they have a look of despair. Up date after 8000 miles no change its like a mad hornet on steroids. This car is amazing way under priced to compare to the competition,it is the fastest 4 door sedan out there today. No mechanical problems unlike the 2017 Porsche which had many electrical problems. Every time we drive the Giulia we all have smiles on our faces. We take long trips in this car and its very comfortable , my son is 6'ft tall and can fit comfortably in the back seat not so in the BMW, Mercedes, or Jaguar. If you don't buy this car at least drive it to see what you are missing.
"
alfa-romeo,giulia,2017,TXMB, 08/21/2018,Absolutely love it,5,"Had my 2017 Ti Sport since December of last year - absolutely love it.  I find excuses to take the car out to run errands or just to get behind the wheel and go for a ride.  I typically keep it in D mode since I enjoy the aggressiveness of the drive when you push the car.  N works well... not sure what the point is of A unless you're on a long drive.  As the driver, I appreciate the interior and the way it is set up.  It is simple and minimalistic and I appreciate that as I bought the car due to its performance and not because of its infotainment system.   Start/stop is annoying so I normally turn it off (I hate it in all cars) and the trunk is somewhat pointless.  Family seems comfortable enough but, in reality, I bought the car for me as a driver and as the main driver, I LOVE IT!  Have not had any reliability issues.
"
alfa-romeo,giulia,2017,Richard Lauricella, 10/12/2018,Beautiful design and fun to drive.,4,"The exterior design attracts many compliments. The interior is very nice with the Lusso package. The steering and handling are excellent and the power makes this a fun experience. Reliability was a concern when bought but everything has been fine. The biggest negatives are a clunky nav system and the lack of Android Auto Play.

There is a strange noise in the steering. The dealer ordered an electronic power steering gear box from Alfa in November 2018 which Alfa has not provided 6 months later. They say it is on back order. Very disappointing.
"
alfa-romeo,giulia,2017,m3g60, 06/02/2018,M3 owner for a long long time!!,5,"ok guys I've owned 7 M3s in the last 20+ years, YES 7 M3s 95, 98, 01, 02, 05, 04, 08 and drove few 2015s. BMW just made a big mistake with the new 2015 M3/M4!!. cars sounds really really really bad!! the interior cheap, steering sucks, steering wheel also sucks, turbo lag, and bad handling, the only thing BMW did good on the new models is the reliability YES more reliable but SUBARU like cars. This Alfa is like driving V8 E92 M3 with all the stuff you wish if the V8 M3 had mostly POWER. If my E92 M3 had double the power it had I would've kept it for longer than 4.5 years but E92 had NO POWER and sounds sooooooo good!!. once you drive the Alfa you will forget about and German cars TRUST ME. if you don't take my word for it you will waste your money on anything you buy. enough said
"
alfa-romeo,giulia,2017,MB, 03/23/2018,BEST KEPT SECRET,5,"Car has been just a dream. Traded in BMW as they don't offer one at this price point that is anything but an economy car with a fancy badge. Once upon a time BMW was my go to car for a sporty but livable sedan. Truth is, they got soft. Alfa Romeo just knocked it out of the park. I almost don't want to write a review because I love that I don't see many on the road. Feels like a special car.
"
alfa-romeo,giulia,2017,sdds, 01/11/2018,Best 4 door sports sedan at pricerange,5,"Steering, power, transmission and handling cannot be matched by BMW, Merc and Audi. This is a real luxary SPORTS sedan, not a luxary 4 door car like the new BMW, Audi and Merc.
"
alfa-romeo,giulia,2017,Joshis, 06/28/2018,Dangerously moves to neutral gear while in drive.,1,"Purchased a 2017 Alfa Romeo Giulia in May 2017. After the initial and random dashboard warnings which would either resolve themselves or a dealer visit for updates, the vehicle started  moving to Neutral while in Drive around December 2017. After that it has happened numerous times once on highway at 70+MPH and multiple times while making left or right turns.
I have to instantly move the car to drive mode to avoid a collision with an incoming car at the intersection. What has followed in the past  few months is software updates, shifter change and brand new transmission but the critical issue remains.
No complaints with dealership as they are merely third party to this end. The service staff is courteous and has maintained good communication with us all the way.
But Alfa Romeo Corporate response is unbecoming of a premium brand. They moved our case to a Third Party Dispute Resolution Center, who offered us pennies as compensation for putting our lives at risk.
A better and smarter company would have seen the seriousness of the situation and quickly replaced it with a new tested vehicle with matching or upgraded features. But our patience and positive approach has been met with indifference and lack of sense if urgency.
We deeply regret buying this product from Alfa Romeo. As it stands today my garage is empty and I am paying on a loan  for a fruit."
alfa-romeo,giulia,2017,Gneo Pompeo, 12/08/2017,Best car I've ever owned,5,"This car has a soul. You just feel connected to the road, and the steering is so sharp. The interior is high quality and well built. I love driving it so much that I keep finding excuses to go out and take a ride. This is a driver's car, made for who appreciates performance.
"
alfa-romeo,giulia,2017,David K, 01/27/2019,So fun to drive you almost forget the problems,4,"Incredibly fun to drive - and it wants to be driven fast. Great traction on dry roads. Constant software-driven problems.
"
